date,departamento,departamento_id,vacas,vaquillonas,novillos,novillitos,terneros,terneras,toros,totalcabezas,ternerossuma,novillossuma
"2015-01-01 00:00:00,000","Olavarría","595",289039,70976,15124,31127,107317,105480,13116,630342,212797,46251
"2015-01-01 00:00:00,000","General Villegas","392",119515,52067,36398,31552,56621,54974,5055,354535,111595,67950
"2015-01-01 00:00:00,000","Trenque Lauquen","826",109809,46672,14307,37992,37501,42223,3285,296511,79724,52299
"2015-01-01 00:00:00,000","Pila","630",123758,35004,1894,7205,37110,41314,4877,255366,78424,9099
"2015-01-01 00:00:00,000","Navarro","574",58195,20637,4328,6126,17097,20893,2139,133211,37990,10454
"2015-01-01 00:00:00,000","Capitán Sarmiento","140",166,63,9,18,48,45,9,355,93,27
"2015-01-01 00:00:00,000","Zárate","882",9701,4054,2374,3707,4179,4460,507,29263,8639,6081
"2015-01-01 00:00:00,000","9 de Julio","588",108198,29000,3910,11211,39489,47407,3902,251035,86896,15121
"2015-01-01 00:00:00,000","Pergamino","623",44648,11338,3146,4542,16341,19159,1864,103856,35500,7688
"2015-01-01 00:00:00,000","Tres Lomas","847",21314,9064,7682,6925,7378,7613,692,60903,14991,14607
"2015-01-01 00:00:00,000","Puán","651",115343,38804,16511,17902,38213,37940,6424,270864,76153,34413
"2015-01-01 00:00:00,000","Guaminí","399",94827,32448,15376,17947,41846,45059,4077,254793,86905,33323
"2015-01-01 00:00:00,000","Necochea","581",74957,17751,6896,4107,22842,27133,3544,161521,49975,11003
"2015-01-01 00:00:00,000","Pehuajó","609",93670,27930,16319,15837,35241,34717,3331,226521,69958,32156
"2015-01-01 00:00:00,000","Villarino","875",157203,53835,18375,21835,46993,50008,7099,358363,97001,40210
"2015-01-01 00:00:00,000","Tres Arroyos","833",88252,24727,11080,8379,34122,37100,3689,210327,71222,19459
"2015-01-01 00:00:00,000","Adolfo Gonzales Chaves","014",95222,25070,2499,5324,32261,34484,4951,202034,66745,7823
"2015-01-01 00:00:00,000","Presidente Perón","648",727,125,5,21,154,195,26,1294,349,26
"2015-01-01 00:00:00,000","General Viamonte","385",47346,10908,1140,6875,20931,20190,1892,108541,41121,8015
"2015-01-01 00:00:00,000","Pilar","638",1354,500,48,75,305,466,59,2968,771,123
"2015-01-01 00:00:00,000","25 de Mayo","854",116950,39960,5916,16882,55882,53464,5647,292283,109346,22798
"2015-01-01 00:00:00,000","Merlo","539",279,54,3,5,45,46,14,447,91,8
"2015-01-01 00:00:00,000","Moreno","560",102,25,2,10,22,34,10,217,56,12
"2015-01-01 00:00:00,000","San Vicente","778",28259,6253,1169,1692,8870,10314,1427,59428,19184,2861
"2015-01-01 00:00:00,000","Maipú","511",106971,23103,5129,7744,31182,37161,4685,221954,68343,12873
"2015-01-01 00:00:00,000","Las Flores","455",139137,27786,2624,5928,42648,47283,6577,276618,89931,8552
"2015-01-01 00:00:00,000","San Pedro","770",14969,6299,4311,7914,10276,6751,764,47759,17027,12225
"2015-01-01 00:00:00,000","Saladillo","707",82942,29047,4438,16899,38782,39696,4348,217066,78478,21337
"2015-01-01 00:00:00,000","Leandro N. Alem","462",30072,9618,1060,5997,10561,11038,1377,70200,21599,7057
"2015-01-01 00:00:00,000","San Nicolás","763",8137,1537,56,689,2585,2799,311,16328,5384,745
"2015-01-01 00:00:00,000","Magdalena","505",93623,21247,3440,7904,29289,33338,4049,196939,62627,11344
"2015-01-01 00:00:00,000","Salliqueló","721",16152,6326,10843,8853,8260,5193,1064,53624,13453,19696
"2015-01-01 00:00:00,000","San Fernando","749",3776,1078,361,210,811,1105,149,7784,1916,571
"2015-01-01 00:00:00,000","Luján","497",13116,5649,416,1007,3844,4584,550,29906,8428,1423
"2015-01-01 00:00:00,000","Salto","714",15176,4236,791,3324,7933,8772,608,41679,16705,4115
"2015-01-01 00:00:00,000","Lincoln","469",168541,52276,12489,21501,59829,60899,7874,384479,120728,33990
"2015-01-01 00:00:00,000","San Andrés de Giles","728",21924,6280,2427,5056,8970,8407,1156,53657,17377,7483
"2015-01-01 00:00:00,000","San Cayetano","742",47019,11171,787,8061,18408,19113,1879,107143,37521,8848
"2015-01-01 00:00:00,000","Lobería","476",83257,26749,10673,10737,31197,33758,3901,202833,64955,21410
"2015-01-01 00:00:00,000","Lobos","483",53074,18735,2631,7380,22052,24652,1891,133015,46704,10011
"2015-01-01 00:00:00,000","Saavedra","700",73543,28121,7049,11634,24684,25683,4054,175767,50367,18683
"2015-01-01 00:00:00,000","Punta Indio","655",79116,17703,1641,3137,23008,27898,3618,161011,50906,4778
"2015-01-01 00:00:00,000","Mar Chiquita","518",132554,42720,3122,14329,40910,47914,7060,295613,88824,17451
"2015-01-01 00:00:00,000","Roque Pérez","693",44797,9852,2135,4498,19799,18791,2199,101063,38590,6633
"2015-01-01 00:00:00,000","Tornquist","819",81188,32218,9985,15634,25209,27136,3528,196825,52345,25619
"2015-01-01 00:00:00,000","Ramallo","665",11190,3732,1263,4115,9421,7399,528,35626,16820,5378
"2015-01-01 00:00:00,000","Monte","547",54997,17818,3670,9083,17544,19693,2039,126993,37237,12753
"2015-01-01 00:00:00,000","Tordillo","812",55473,15721,4158,5448,20251,20770,2320,124660,41021,9606
"2015-01-01 00:00:00,000","Junín","413",35097,7997,1277,2577,14658,15553,2001,80055,30211,3854
"2015-01-01 00:00:00,000","Tigre","805",97,47,22,2,26,26,9,229,52,24
"2015-01-01 00:00:00,000","Rauch","672",193941,44930,4541,12252,56345,64502,8068,392736,120847,16793
"2015-01-01 00:00:00,000","Pellegrini","616",23452,8852,12182,8657,12577,9842,1097,73924,22419,20839
"2015-01-01 00:00:00,000","La Matanza","427",642,259,44,103,246,181,26,1436,427,147
"2015-01-01 00:00:00,000","Tapalqué","798",177193,36132,3828,9315,47828,55974,7235,345651,103802,13143
"2015-01-01 00:00:00,000","Rivadavia","679",49381,26335,27495,47146,29603,17512,1946,187327,47115,74641
"2015-01-01 00:00:00,000","Mercedes","532",33888,9533,2914,2426,10835,12257,1346,74621,23092,5340
"2015-01-01 00:00:00,000","Rojas","686",24859,7886,1952,6281,11944,11156,1142,64432,23100,8233
"2015-01-01 00:00:00,000","Tandil","791",121730,45207,13171,19258,46346,51488,5175,307517,97834,32429
"2015-01-01 00:00:00,000","La Plata","441",22914,6423,646,1345,9644,11360,1052,55100,21004,1991
"2015-01-01 00:00:00,000","Marcos Paz","525",11973,3669,586,4183,3169,4443,352,29649,7612,4769
"2015-01-01 00:00:00,000","Suipacha","784",35605,9976,1899,3208,8567,10410,1486,72994,18977,5107
"2015-01-01 00:00:00,000","Laprida","448",142228,38872,13316,14919,49044,52046,6265,319692,101090,28235
"2015-01-01 00:00:00,000","San Antonio de Areco","735",10748,2411,1295,1420,6224,5040,651,26605,11264,2715
"2015-01-01 00:00:00,000","Hipólito Yrigoyen","406",25754,11530,4566,11148,14781,12062,1062,78184,26843,15714
"2015-01-01 00:00:00,000","General Arenales","294",14261,3457,72,1604,5454,5649,643,31335,11103,1676
"2015-01-01 00:00:00,000","Arrecifes","077",15970,5964,2141,3947,9651,10407,849,49685,20058,6088
"2015-01-01 00:00:00,000","Colón","175",14927,4100,1101,1150,4829,5036,589,31939,9865,2251
"2015-01-01 00:00:00,000","General Paz","343",59295,18152,2443,4249,17051,20917,2217,128190,37968,6692
"2015-01-01 00:00:00,000","Carlos Casares","147",63014,22083,4531,12525,25049,24010,2404,152577,49059,17056
"2015-01-01 00:00:00,000","General Rodríguez","364",7537,1862,485,404,2297,2944,338,16514,5241,889
"2015-01-01 00:00:00,000","Chivilcoy","224",34950,11342,2325,4474,13606,13550,1803,81994,27156,6799
"2015-01-01 00:00:00,000","Berazategui","091",1894,536,1122,721,400,421,111,5226,821,1843
"2015-01-01 00:00:00,000","Ayacucho","042",326916,78202,19056,32837,105213,115454,13013,700932,220667,51893
"2015-01-01 00:00:00,000","General Alvarado","280",23340,6102,872,8667,9181,8994,1129,58098,18175,9539
"2015-01-01 00:00:00,000","Esteban Echeverría","260",117,13,121,1,34,35,12,334,69,122
"2015-01-01 00:00:00,000","General Juan Madariaga","315",110135,29918,10551,16415,36279,39635,4645,250934,75914,26966
"2015-01-01 00:00:00,000","Chascomús","218",176288,59986,6367,17802,54350,62897,7030,393267,117247,24169
"2015-01-01 00:00:00,000","Carlos Tejedor","154",96278,35177,14100,16911,34886,34631,4017,235745,69517,31011
"2015-01-01 00:00:00,000","General Guido","308",109393,20194,1322,4977,29762,36560,4212,213218,66322,6299
"2015-01-01 00:00:00,000","Azul","049",229293,71001,13563,21718,80424,86216,10115,518122,166640,35281
"2015-01-01 00:00:00,000","General La Madrid","322",158252,51730,14957,18497,55727,59860,6240,369396,115587,33454
"2015-01-01 00:00:00,000","Campana","126",8166,1808,595,1025,2586,2332,336,16594,4918,1620
"2015-01-01 00:00:00,000","Exaltación de la Cruz","266",9613,3351,493,1409,2285,3031,577,21505,5316,1902
"2015-01-01 00:00:00,000","Bahía Blanca","056",35684,17512,3205,7330,12011,12793,1808,91125,24804,10535
"2015-01-01 00:00:00,000","General Lavalle","336",89002,23509,7175,7361,25104,29133,4057,189370,54237,14536
"2015-01-01 00:00:00,000","Benito Juárez","084",193002,43064,11941,11858,58463,69220,8121,406426,127683,23799
"2015-01-01 00:00:00,000","Castelli","168",71229,22884,3811,4393,19505,23134,2713,151298,42639,8204
"2015-01-01 00:00:00,000","Florencio Varela","274",2319,680,10,443,581,565,99,4681,1146,453
"2015-01-01 00:00:00,000","Balcarce","063",105602,35976,14379,13670,39218,42620,5587,260454,81838,28049
"2015-01-01 00:00:00,000","José M. Ezeiza","270",730,209,101,132,172,257,37,1723,429,233
"2015-01-01 00:00:00,000","Patagones","602",109371,34415,15883,19294,34353,36472,5312,257219,70825,35177
"2015-01-01 00:00:00,000","Carmen de Areco","161",30449,14773,2461,2658,10257,12113,1249,75816,22370,5119
"2015-01-01 00:00:00,000","General Las Heras","329",34558,11577,2134,2768,10526,12970,1253,78230,23496,4902
"2015-01-01 00:00:00,000","Chacabuco","210",36368,10519,1667,6101,16178,14391,1364,84801,30569,7768
"2015-01-01 00:00:00,000","Escobar","252",3337,1058,120,221,858,1021,148,6926,1879,341
"2015-01-01 00:00:00,000","Baradero","070",16286,5126,3358,3226,7147,7285,717,43283,14432,6584
"2015-01-01 00:00:00,000","Bolívar","105",153167,43137,9633,24754,52283,58714,7730,355849,110997,34387
"2015-01-01 00:00:00,000","Alberti","021",15933,3508,1086,1698,6646,6665,770,36325,13311,2784
"2015-01-01 00:00:00,000","Dolores","238",76389,21515,3009,6670,23824,26036,3361,163016,49860,9679
"2015-01-01 00:00:00,000","Coronel de Marina Leonardo Rosales","182",18063,4600,1258,1990,4572,5486,936,37819,10058,3248
"2015-01-01 00:00:00,000","Capitán Sarmiento","140",5326,2235,216,906,2781,2408,327,13826,5189,1122
"2015-01-01 00:00:00,000","Coronel Pringles","196",136771,31646,5128,12802,44642,48553,6063,289516,93195,17930
"2015-01-01 00:00:00,000","Daireaux","231",84688,26930,7735,9861,27461,30943,3615,194715,58404,17596
"2015-01-01 00:00:00,000","Cañuelas","134",52874,11523,1180,3442,15392,18663,2446,108791,34055,4622
"2015-01-01 00:00:00,000","Almirante Brown","028",163,29,2,9,59,59,9,330,118,11
"2015-01-01 00:00:00,000","General Belgrano","301",57490,19531,3200,6811,18993,23827,2652,137338,42820,10011
"2015-01-01 00:00:00,000","Adolfo Alsina","007",91565,31619,22107,17817,33187,31401,3631,229541,64588,39924
"2015-01-01 00:00:00,000","Coronel Dorrego","189",78589,26742,9199,11619,26770,27213,3532,184107,53983,20818
"2015-01-01 00:00:00,000","General Alvear","287",138785,41897,5667,11802,40666,47395,5631,298572,88061,17469
"2015-01-01 00:00:00,000","Florentino Ameghino","277",49120,14817,3369,6250,21166,21205,1981,117947,42371,9619
"2015-01-01 00:00:00,000","General Pinto","351",65309,21739,4892,7326,24005,26501,2716,154984,50506,12218
"2015-01-01 00:00:00,000","Coronel Suárez","203",124732,41641,16809,16962,49555,51723,7492,311082,101278,33771
"2015-01-01 00:00:00,000","Bragado","112",38770,8647,1927,3734,13912,14238,1487,83041,28150,5661
"2015-01-01 00:00:00,000","Brandsen","119",62286,13144,2118,2654,17715,21407,2632,125648,39122,4772
"2015-01-01 00:00:00,000","Berisso","098",1637,254,762,289,419,403,60,3808,822,1051
"2015-01-01 00:00:00,000","Ensenada","245",327,83,133,232,107,99,14,987,206,365
"2015-01-01 00:00:00,000","General Pueyrredón","357",18240,6989,3836,2945,6757,6883,906,46682,13640,6781
"2013-01-01 00:00:00,000","Pellegrini","616",23640,12052,18141,9482,12097,7999,1083,80396,20096,27623
"2013-01-01 00:00:00,000","Coronel Dorrego","189",77827,28813,11705,9235,27955,27649,3880,186758,55604,20940
"2013-01-01 00:00:00,000","Capitán Sarmiento","140",5191,2132,179,1015,2919,2189,371,13266,5108,1194
"2013-01-01 00:00:00,000","Arrecifes","077",13913,3000,2946,2051,9869,8487,767,39651,18356,4997
"2013-01-01 00:00:00,000","Salliqueló","721",17777,7758,13017,7904,10322,5502,829,58289,15824,20921
"2013-01-01 00:00:00,000","Saladillo","707",82285,29030,6026,14591,42952,40689,5099,218409,83641,20617
"2013-01-01 00:00:00,000","Tres Arroyos","833",90142,24633,10838,7717,37091,38381,3797,213889,75472,18555
"2013-01-01 00:00:00,000","San Cayetano","742",44021,13222,77,8553,18298,18886,2441,106086,37184,8630
"2013-01-01 00:00:00,000","Florentino Ameghino","277",45871,13178,3406,4977,17312,18604,2248,106888,35916,8383
"2013-01-01 00:00:00,000","Brandsen","119",57208,16209,1523,3135,17502,20501,2635,121712,38003,4658
"2013-01-01 00:00:00,000","Tres Lomas","847",21294,9517,9146,8851,10649,8144,724,65820,18793,17997
"2013-01-01 00:00:00,000","Bolívar","105",148368,43898,10825,23865,53703,58473,7430,351332,112176,34690
"2013-01-01 00:00:00,000","San Antonio de Areco","735",10249,2554,898,1806,5925,4568,575,25218,10493,2704
"2013-01-01 00:00:00,000","Coronel Pringles","196",124061,38137,4964,11141,42272,46840,7541,279524,89112,16105
"2013-01-01 00:00:00,000","Navarro","574",57430,23175,4441,7333,19746,20181,2026,134767,39927,11774
"2013-01-01 00:00:00,000","Adolfo Alsina","007",88337,33245,23354,19128,33862,33213,3679,234169,67075,42482
"2013-01-01 00:00:00,000","Zárate","882",9509,4003,1577,2269,3680,3700,1020,25778,7380,3846
"2013-01-01 00:00:00,000","Necochea","581",71858,18659,6447,4033,23066,27477,3990,159941,50543,10480
"2013-01-01 00:00:00,000","Coronel Suárez","203",124848,36582,15089,18467,57281,55099,7031,312215,112380,33556
"2013-01-01 00:00:00,000","Villarino","875",135867,48317,15756,17937,40814,43207,6508,310799,84021,33693
"2013-01-01 00:00:00,000","Salto","714",16409,3649,2169,2057,9021,8745,811,42585,17766,4226
