Date,PrecioDolar
"2015-02-01 00:00:00,000","8,555"
"2015-05-01 00:00:00,000","8,561"
"2015-06-01 00:00:00,000","8,572"
"2015-07-01 00:00:00,000","8,585"
"2015-08-01 00:00:00,000","8,592"
"2015-09-01 00:00:00,000","8,591"
"2015-12-01 00:00:00,000","8,591"
"2015-01-13 00:00:00,000","8,593"
"2015-01-14 00:00:00,000","8,595"
"2015-01-15 00:00:00,000","8,597"
"2015-01-16 00:00:00,000","8,601"
"2015-01-19 00:00:00,000","8,605"
"2015-01-20 00:00:00,000","8,611"
"2015-01-21 00:00:00,000","8,616"
"2015-01-22 00:00:00,000","8,621"
"2015-01-23 00:00:00,000","8,625"
"2015-01-26 00:00:00,000","8,625"
"2015-01-27 00:00:00,000","8,629"
"2015-01-28 00:00:00,000","8,631"
"2015-01-29 00:00:00,000","8,634"
"2015-01-30 00:00:00,000","8,644"
"2015-02-02 00:00:00,000","8,656"
"2015-03-02 00:00:00,000","8,661"
"2015-04-02 00:00:00,000","8,66"
"2015-05-02 00:00:00,000","8,66"
"2015-06-02 00:00:00,000","8,659"
"2015-09-02 00:00:00,000","8,666"
"2015-10-02 00:00:00,000","8,672"
"2015-11-02 00:00:00,000","8,678"
"2015-12-02 00:00:00,000","8,681"
"2015-02-13 00:00:00,000","8,685"
"2015-02-18 00:00:00,000","8,69"
"2015-02-19 00:00:00,000","8,697"
"2015-02-20 00:00:00,000","8,703"
"2015-02-23 00:00:00,000","8,71"
"2015-02-24 00:00:00,000","8,718"
"2015-02-25 00:00:00,000","8,722"
"2015-02-26 00:00:00,000","8,721"
"2015-02-27 00:00:00,000","8,726"
"2015-02-03 00:00:00,000","8,733"
"2015-03-03 00:00:00,000","8,739"
"2015-04-03 00:00:00,000","8,744"
"2015-05-03 00:00:00,000","8,75"
"2015-06-03 00:00:00,000","8,758"
"2015-09-03 00:00:00,000","8,764"
"2015-10-03 00:00:00,000","8,77"
"2015-11-03 00:00:00,000","8,777"
"2015-12-03 00:00:00,000","8,78"
"2015-03-13 00:00:00,000","8,783"
"2015-03-16 00:00:00,000","8,783"
"2015-03-17 00:00:00,000","8,787"
"2015-03-18 00:00:00,000","8,791"
"2015-03-19 00:00:00,000","8,794"
"2015-03-20 00:00:00,000","8,799"
"2015-03-25 00:00:00,000","8,801"
"2015-03-26 00:00:00,000","8,806"
"2015-03-27 00:00:00,000","8,81"
"2015-03-30 00:00:00,000","8,816"
"2015-03-31 00:00:00,000","8,822"
"2015-01-04 00:00:00,000","8,827"
"2015-06-04 00:00:00,000","8,831"
"2015-07-04 00:00:00,000","8,836"
"2015-08-04 00:00:00,000","8,841"
"2015-09-04 00:00:00,000","8,845"
"2015-10-04 00:00:00,000","8,85"
"2015-04-13 00:00:00,000","8,856"
"2015-04-14 00:00:00,000","8,858"
"2015-04-15 00:00:00,000","8,866"
"2015-04-16 00:00:00,000","8,866"
"2015-04-17 00:00:00,000","8,867"
"2015-04-20 00:00:00,000","8,871"
"2015-04-21 00:00:00,000","8,874"
"2015-04-22 00:00:00,000","8,879"
"2015-04-23 00:00:00,000","8,885"
"2015-04-24 00:00:00,000","8,89"
"2015-04-27 00:00:00,000","8,895"
"2015-04-28 00:00:00,000","8,897"
"2015-04-29 00:00:00,000","8,902"
"2015-04-30 00:00:00,000","8,907"
"2015-04-05 00:00:00,000","8,912"
"2015-05-05 00:00:00,000","8,917"
"2015-06-05 00:00:00,000","8,922"
"2015-07-05 00:00:00,000","8,924"
"2015-08-05 00:00:00,000","8,928"
"2015-11-05 00:00:00,000","8,933"
"2015-12-05 00:00:00,000","8,936"
"2015-05-13 00:00:00,000","8,94"
"2015-05-14 00:00:00,000","8,944"
"2015-05-15 00:00:00,000","8,947"
"2015-05-18 00:00:00,000","8,953"
"2015-05-19 00:00:00,000","8,958"
"2015-05-20 00:00:00,000","8,962"
"2015-05-21 00:00:00,000","8,968"
"2015-05-22 00:00:00,000","8,971"
"2015-05-26 00:00:00,000","8,978"
"2015-05-27 00:00:00,000","8,983"
"2015-05-28 00:00:00,000","8,986"
"2015-05-29 00:00:00,000","8,992"
"2015-01-06 00:00:00,000","8,996"
"2015-02-06 00:00:00,000","9,001"
"2015-03-06 00:00:00,000","9,007"
"2015-04-06 00:00:00,000","9,01"
"2015-05-06 00:00:00,000","9,014"
"2015-08-06 00:00:00,000","9,018"
"2015-09-06 00:00:00,000","9,023"
"2015-10-06 00:00:00,000","9,029"
"2015-11-06 00:00:00,000","9,032"
"2015-12-06 00:00:00,000","9,037"
"2015-06-15 00:00:00,000","9,041"
"2015-06-16 00:00:00,000","9,044"
"2015-06-17 00:00:00,000","9,05"
"2015-06-18 00:00:00,000","9,052"
"2015-06-19 00:00:00,000","9,056"
"2015-06-22 00:00:00,000","9,061"
"2015-06-23 00:00:00,000","9,065"
"2015-06-24 00:00:00,000","9,069"
"2015-06-25 00:00:00,000","9,073"
"2015-06-26 00:00:00,000","9,078"
"2015-06-29 00:00:00,000","9,083"
"2015-06-30 00:00:00,000","9,088"
"2015-01-07 00:00:00,000","9,093"
"2015-02-07 00:00:00,000","9,097"
"2015-03-07 00:00:00,000","9,104"
"2015-06-07 00:00:00,000","9,108"
"2015-07-07 00:00:00,000","9,114"
"2015-08-07 00:00:00,000","9,118"
"2015-10-07 00:00:00,000","9,124"
"2015-07-13 00:00:00,000","9,128"
"2015-07-14 00:00:00,000","9,132"
"2015-07-15 00:00:00,000","9,137"
"2015-07-16 00:00:00,000","9,142"
"2015-07-17 00:00:00,000","9,146"
"2015-07-20 00:00:00,000","9,151"
"2015-07-21 00:00:00,000","9,156"
"2015-07-22 00:00:00,000","9,161"
"2015-07-23 00:00:00,000","9,165"
"2015-07-24 00:00:00,000","9,168"
"2015-07-27 00:00:00,000","9,173"
"2015-07-28 00:00:00,000","9,178"
"2015-07-29 00:00:00,000","9,182"
"2015-07-30 00:00:00,000","9,187"
"2015-07-31 00:00:00,000","9,19"
"2015-03-08 00:00:00,000","9,195"
"2015-04-08 00:00:00,000","9,2"
"2015-05-08 00:00:00,000","9,205"
"2015-06-08 00:00:00,000","9,209"
"2015-07-08 00:00:00,000","9,214"
"2015-10-08 00:00:00,000","9,22"
"2015-11-08 00:00:00,000","9,227"
"2015-12-08 00:00:00,000","9,231"
"2015-08-13 00:00:00,000","9,237"
"2015-08-14 00:00:00,000","9,24"
"2015-08-18 00:00:00,000","9,245"
"2015-08-19 00:00:00,000","9,251"
"2015-08-20 00:00:00,000","9,255"
"2015-08-21 00:00:00,000","9,26"
"2015-08-24 00:00:00,000","9,267"
"2015-08-25 00:00:00,000","9,272"
"2015-08-26 00:00:00,000","9,279"
"2015-08-27 00:00:00,000","9,284"
"2015-08-28 00:00:00,000","9,29"
"2015-08-31 00:00:00,000","9,296"
"2015-01-09 00:00:00,000","9,304"
"2015-02-09 00:00:00,000","9,31"
"2015-03-09 00:00:00,000","9,317"
"2015-04-09 00:00:00,000","9,322"
"2015-07-09 00:00:00,000","9,34"
