Date,Cereal,Puerto,PrecioPesos,PrecioUSD
"2015-01-02 00:00:00,000","Soja","Rosario",2410,
"2015-01-05 00:00:00,000","Soja","Rosario",2509,"284,24153166421206"
"2015-01-06 00:00:00,000","Soja","Rosario",2518,"279,90217874610937"
"2015-01-07 00:00:00,000","Soja","Rosario",2500,"274,93676454415487"
"2015-01-08 00:00:00,000","Soja","Rosario",2495,"274,38689101506651"
"2015-01-09 00:00:00,000","Soja","Rosario",2505,"269,23903697334481"
"2015-01-12 00:00:00,000","Soja","Rosario",2445,"252,1138379047226"
"2015-01-13 00:00:00,000","Soja","Rosario",2445,"252,1138379047226"
"2015-01-14 00:00:00,000","Soja","Rosario",2455,"253,14497834605072"
"2015-01-15 00:00:00,000","Soja","Rosario",2400,"247,47370591874613"
"2015-01-16 00:00:00,000","Soja","Rosario",2430,"250,56712724273044"
"2015-01-19 00:00:00,000","Soja","Rosario",2440,"251,59826768405856"
"2015-01-20 00:00:00,000","Soja","Rosario",2427,"250,257785110332"
"2015-01-21 00:00:00,000","Soja","Rosario",2457,"253,35120643431634"
"2015-01-22 00:00:00,000","Soja","Rosario",2427,"250,257785110332"
"2015-01-23 00:00:00,000","Soja","Rosario",2430,"250,56712724273044"
"2015-01-26 00:00:00,000","Soja","Rosario",2410,"248,50484636007423"
"2015-01-27 00:00:00,000","Soja","Rosario",2400,"247,47370591874613"
"2015-01-28 00:00:00,000","Soja","Rosario",2400,"247,47370591874613"
"2015-01-29 00:00:00,000","Soja","Rosario",2380,"245,4114250360899"
"2015-01-30 00:00:00,000","Soja","Rosario",2310,"238,19344194679314"
"2015-02-02 00:00:00,000","Soja","Rosario",2310,"238,19344194679314"
"2015-02-03 00:00:00,000","Soja","Rosario",2378,"245,20519694782428"
"2015-02-04 00:00:00,000","Soja","Rosario",2335,"240,77129305011343"
"2015-02-05 00:00:00,000","Soja","Rosario",2360,"243,34914415343368"
"2015-02-06 00:00:00,000","Soja","Rosario",2345,"241,80243349144152"
"2015-02-09 00:00:00,000","Soja","Rosario",2345,"241,80243349144152"
"2015-02-10 00:00:00,000","Soja","Rosario",2340,"241,28686327077747"
"2015-02-11 00:00:00,000","Soja","Rosario",2360,"243,34914415343368"
"2015-02-12 00:00:00,000","Soja","Rosario",2380,"245,13338139870226"
"2015-02-13 00:00:00,000","Soja","Rosario",2400,"247,19332578020393"
"2015-02-18 00:00:00,000","Soja","Rosario",2400,"247,19332578020393"
"2015-02-19 00:00:00,000","Soja","Rosario",2405,"247,70831187557937"
"2015-02-20 00:00:00,000","Soja","Rosario",2402,"247,39932021835412"
"2015-02-23 00:00:00,000","Soja","Rosario",2390,"246,1633535894531"
"2015-02-24 00:00:00,000","Soja","Rosario",2400,"247,19332578020393"
"2015-02-25 00:00:00,000","Soja","Rosario",2350,"242,04346482644971"
"2015-02-26 00:00:00,000","Soja","Rosario",2300,"236,89360387269545"
"2015-02-27 00:00:00,000","Soja","Rosario",2300,"236,89360387269545"
"2015-03-02 00:00:00,000","Soja","Rosario",2240,"230,71377072819035"
"2015-03-03 00:00:00,000","Soja","Rosario",2250,"231,74374291894119"
"2015-03-04 00:00:00,000","Soja","Rosario",2250,"231,74374291894119"
"2015-03-05 00:00:00,000","Soja","Rosario",2298,"236,68760943454527"
"2015-03-06 00:00:00,000","Soja","Rosario",2360,"243,07343701720055"
"2015-03-09 00:00:00,000","Soja","Rosario",2405,"247,70831187557937"
"2015-03-10 00:00:00,000","Soja","Rosario",2400,"247,19332578020393"
"2015-03-12 00:00:00,000","Soja","Rosario",2195,"225,8230452674897"
"2015-03-13 00:00:00,000","Soja","Rosario",2180,"224,27983539094649"
"2015-03-16 00:00:00,000","Soja","Rosario",2105,"216,56378600823044"
"2015-03-17 00:00:00,000","Soja","Rosario",2045,"210,3909465020576"
"2015-03-18 00:00:00,000","Soja","Rosario",2000,"205,76131687242798"
"2015-03-19 00:00:00,000","Soja","Rosario",1970,"202,67489711934155"
"2015-03-20 00:00:00,000","Soja","Rosario",1975,"203,18930041152262"
"2015-03-25 00:00:00,000","Soja","Rosario",1965,"202,16049382716048"
"2015-03-26 00:00:00,000","Soja","Rosario",1960,"201,64609053497941"
"2015-03-27 00:00:00,000","Soja","Rosario",1947,"200,30864197530863"
"2015-03-30 00:00:00,000","Soja","Rosario",1935,"199,07407407407405"
"2015-03-31 00:00:00,000","Soja","Rosario",1928,"198,35390946502056"
"2015-04-01 00:00:00,000","Soja","Rosario",1945,"200,10288065843619"
"2015-04-06 00:00:00,000","Soja","Rosario",1920,"197,53086419753086"
"2015-04-07 00:00:00,000","Soja","Rosario",1895,"194,9588477366255"
"2015-04-08 00:00:00,000","Soja","Rosario",1900,"195,47325102880657"
"2015-04-09 00:00:00,000","Soja","Rosario",1885,"193,93004115226336"
"2015-04-10 00:00:00,000","Soja","Rosario",1848,"190,12345679012344"
"2015-04-13 00:00:00,000","Soja","Rosario",1843,"189,41418293936277"
"2015-04-14 00:00:00,000","Soja","Rosario",1900,"195,27235354573483"
"2015-04-15 00:00:00,000","Soja","Rosario",1922,"197,5334018499486"
"2015-04-16 00:00:00,000","Soja","Rosario",1923,"197,6361767728674"
"2015-04-17 00:00:00,000","Soja","Rosario",1928,"198,15005138746145"
"2015-04-20 00:00:00,000","Soja","Rosario",1967,"202,15827338129495"
"2015-04-21 00:00:00,000","Soja","Rosario",1945,"199,89722507708117"
"2015-04-22 00:00:00,000","Soja","Rosario",1907,"195,9917780061665"
"2015-04-23 00:00:00,000","Soja","Rosario",1927,"198,04727646454265"
"2015-04-24 00:00:00,000","Soja","Rosario",1890,"194,24460431654674"
"2015-04-27 00:00:00,000","Soja","Rosario",1897,"194,96402877697841"
"2015-04-28 00:00:00,000","Soja","Rosario",1915,"196,81397738951694"
"2015-04-29 00:00:00,000","Soja","Rosario",1927,"198,04727646454265"
"2015-04-30 00:00:00,000","Soja","Rosario",1915,"196,81397738951694"
"2015-05-04 00:00:00,000","Soja","Rosario",1920,"197,32785200411098"
"2015-05-05 00:00:00,000","Soja","Rosario",1946,200
"2015-05-06 00:00:00,000","Soja","Rosario",1960,"201,43884892086331"
"2015-05-07 00:00:00,000","Soja","Rosario",1945,"199,89722507708117"
"2015-05-08 00:00:00,000","Soja","Rosario",1945,"199,89722507708117"
"2015-05-11 00:00:00,000","Soja","Rosario",1885,"193,73072970195273"
"2015-05-12 00:00:00,000","Soja","Rosario",1880,"193,21685508735868"
"2015-05-13 00:00:00,000","Soja","Rosario",1895,"194,75847893114079"
"2015-05-14 00:00:00,000","Soja","Rosario",1900,"195,27235354573483"
"2015-05-15 00:00:00,000","Soja","Rosario",1890,"194,24460431654674"
"2015-05-20 00:00:00,000","Soja","Rosario",1890,"194,24460431654674"
"2015-06-01 00:00:00,000","Soja","Rosario",1850,"190,13360739979444"
"2015-06-02 00:00:00,000","Soja","Rosario",1902,"195,47790339157245"
"2015-06-03 00:00:00,000","Soja","Rosario",1910,"196,30010277492292"
"2015-06-04 00:00:00,000","Soja","Rosario",1908,"196,0945529290853"
"2015-06-05 00:00:00,000","Soja","Rosario",1900,"195,27235354573483"
"2015-06-08 00:00:00,000","Soja","Rosario",1920,"197,32785200411098"
"2015-06-09 00:00:00,000","Soja","Rosario",1930,"198,35560123329907"
"2015-06-10 00:00:00,000","Soja","Rosario",1900,"195,27235354573483"
"2015-06-11 00:00:00,000","Soja","Rosario",1895,"194,75847893114079"
"2015-06-12 00:00:00,000","Soja","Rosario",1903,"195,58067831449125"
"2015-06-15 00:00:00,000","Soja","Rosario",1875,"192,70298047276464"
"2015-06-16 00:00:00,000","Soja","Rosario",1910,"196,30010277492292"
"2015-06-17 00:00:00,000","Soja","Rosario",1950,"200,41109969167522"
"2015-06-18 00:00:00,000","Soja","Rosario",1950,"200,41109969167522"
"2015-06-19 00:00:00,000","Soja","Rosario",1900,"195,27235354573483"
"2015-06-22 00:00:00,000","Soja","Rosario",1950,"200,41109969167522"
"2015-06-23 00:00:00,000","Soja","Rosario",1920,"197,32785200411098"
"2015-06-24 00:00:00,000","Soja","Rosario",1950,"200,41109969167522"
"2015-06-25 00:00:00,000","Soja","Rosario",1975,"202,98047276464541"
"2015-06-26 00:00:00,000","Soja","Rosario",1980,"203,49434737923946"
"2015-06-29 00:00:00,000","Soja","Rosario",1920,"197,32785200411098"
"2015-06-30 00:00:00,000","Soja","Rosario",2000,"205,54984583761561"
"2015-07-01 00:00:00,000","Soja","Rosario",1995,"205,03597122302156"
"2015-07-02 00:00:00,000","Soja","Rosario",2023,"207,91366906474821"
"2015-07-03 00:00:00,000","Soja","Rosario",2020,"207,60534429599176"
"2015-07-06 00:00:00,000","Soja","Rosario",2020,"207,60534429599176"
"2015-07-07 00:00:00,000","Soja","Rosario",2003,"205,85817060637203"
"2015-07-08 00:00:00,000","Soja","Rosario",2050,"210,688591983556"
"2015-07-10 00:00:00,000","Soja","Rosario",2105,"216,34121274409043"
"2015-07-13 00:00:00,000","Soja","Rosario",2105,"216,34121274409043"
"2015-07-14 00:00:00,000","Soja","Rosario",2115,"217,36896197327852"
"2015-07-15 00:00:00,000","Soja","Rosario",2117,"217,57451181911614"
"2015-07-16 00:00:00,000","Soja","Rosario",2130,"218,91058581706062"
"2015-07-17 00:00:00,000","Soja","Rosario",2130,"218,91058581706062"
"2015-07-20 00:00:00,000","Soja","Rosario",2110,"216,85508735868447"
"2015-07-21 00:00:00,000","Soja","Rosario",2135,"219,42446043165467"
"2015-07-22 00:00:00,000","Soja","Rosario",2180,"224,049331963001"
"2015-07-23 00:00:00,000","Soja","Rosario",2135,"219,42446043165467"
"2015-07-28 00:00:00,000","Soja","Rosario",2030,"208,63309352517985"
"2015-07-29 00:00:00,000","Soja","Rosario",2120,"217,88283658787256"
"2015-07-30 00:00:00,000","Soja","Rosario",2100,"215,82733812949638"
"2015-07-31 00:00:00,000","Soja","Rosario",2050,"210,688591983556"
"2015-08-03 00:00:00,000","Soja","Rosario",2055,"211,20246659815004"
"2015-08-04 00:00:00,000","Soja","Rosario",2095,"215,31346351490237"
"2015-08-05 00:00:00,000","Soja","Rosario",2105,"216,34121274409043"
"2015-08-06 00:00:00,000","Soja","Rosario",2090,"214,79958890030832"
"2015-08-07 00:00:00,000","Soja","Rosario",2105,"216,34121274409043"
"2015-08-10 00:00:00,000","Soja","Rosario",2160,"221,99383350462486"
"2015-08-11 00:00:00,000","Soja","Rosario",2110,"216,85508735868447"
"2015-08-13 00:00:00,000","Soja","Rosario",2050,"210,688591983556"
"2015-08-14 00:00:00,000","Soja","Rosario",2050,"210,688591983556"
"2015-08-18 00:00:00,000","Soja","Rosario",2080,"213,77183967112023"
"2015-08-19 00:00:00,000","Soja","Rosario",2085,"214,28571428571428"
"2015-08-20 00:00:00,000","Soja","Rosario",2140,"219,93833504624871"
"2015-08-21 00:00:00,000","Soja","Rosario",2130,"218,91058581706062"
"2015-08-25 00:00:00,000","Soja","Rosario",2140,"219,93833504624871"
"2015-08-31 00:00:00,000","Soja","Rosario",2150,"220,96608427543677"
"2015-09-01 00:00:00,000","Soja","Rosario",2120,"217,88283658787256"
"2015-09-02 00:00:00,000","Soja","Rosario",2130,"218,91058581706062"
"2015-09-03 00:00:00,000","Soja","Rosario",2110,"216,85508735868447"
"2015-09-04 00:00:00,000","Soja","Rosario",2110,"216,85508735868447"
"2015-09-08 00:00:00,000","Soja","Rosario",2120,"217,88283658787256"
"2015-09-09 00:00:00,000","Soja","Rosario",2130,"218,91058581706062"
"2015-09-10 00:00:00,000","Soja","Rosario",2145,"220,45220966084275"
"2015-09-11 00:00:00,000","Soja","Rosario",2145,"220,45220966084275"
"2015-09-14 00:00:00,000","Soja","Rosario",2160,"221,85702547247328"
"2015-09-15 00:00:00,000","Soja","Rosario",2155,"221,34346754313884"
"2015-09-16 00:00:00,000","Soja","Rosario",2135,"219,28923582580114"
"2015-09-17 00:00:00,000","Soja","Rosario",2115,"217,23500410846341"
"2015-09-21 00:00:00,000","Soja","Rosario",2110,"216,721446179129"
"2015-09-22 00:00:00,000","Soja","Rosario",2095,"215,18077239112571"
"2015-09-23 00:00:00,000","Soja","Rosario",2100,"215,69433032046012"
"2015-09-24 00:00:00,000","Soja","Rosario",2100,"215,69433032046012"
"2015-09-25 00:00:00,000","Soja","Rosario",2140,"219,80279375513555"
"2015-09-28 00:00:00,000","Soja","Rosario",2100,"215,69433032046012"
"2015-09-29 00:00:00,000","Soja","Rosario",2145,"220,31635168447"
"2015-10-05 00:00:00,000","Soja","Rosario",2120,"217,74856203779785"
"2015-10-06 00:00:00,000","Soja","Rosario",2190,"224,93837304847986"
"2015-10-08 00:00:00,000","Soja","Rosario",2135,"219,28923582580114"
"2015-10-09 00:00:00,000","Soja","Rosario",2170,"222,88414133114213"
"2015-10-13 00:00:00,000","Soja","Rosario",2210,"226,64342118757051"
"2015-10-14 00:00:00,000","Soja","Rosario",2205,"226,13065326633168"
"2015-10-15 00:00:00,000","Soja","Rosario",2205,"226,13065326633168"
"2015-10-16 00:00:00,000","Soja","Rosario",2200,"225,61788534509282"
"2015-10-19 00:00:00,000","Soja","Rosario",2195,"225,10511742385398"
"2015-10-20 00:00:00,000","Soja","Rosario",2210,"226,64342118757051"
"2015-10-21 00:00:00,000","Soja","Rosario",2225,"228,18172495128707"
"2015-10-22 00:00:00,000","Soja","Rosario",2240,"229,72002871500359"
"2015-10-23 00:00:00,000","Soja","Rosario",2260,"231,77110039995898"
"2015-10-26 00:00:00,000","Soja","Rosario",2300,"235,87324376986976"
"2015-10-27 00:00:00,000","Soja","Rosario",2300,"235,87324376986976"
"2015-10-29 00:00:00,000","Soja","Rosario",2190,"224,59234950261512"
"2015-10-30 00:00:00,000","Soja","Rosario",2300,"235,87324376986976"
"2015-11-03 00:00:00,000","Soja","Rosario",2290,"234,84770792739207"
"2015-11-04 00:00:00,000","Soja","Rosario",2290,"234,84770792739207"
"2015-11-11 00:00:00,000","Soja","Rosario",2310,"236,89877961234745"
"2015-11-12 00:00:00,000","Soja","Rosario",2355,"240,97001944131793"
"2015-11-13 00:00:00,000","Soja","Rosario",2345,"239,94679218254376"
